ref,region,regular,icu,cases_influenza_regular,cases_influenza_icu,cases_other_regular,cases_other_icu,mechanical_ventilators,children,adults,elderly,population
230400,Coreaú,14,0,1,0,2,0,0,6545,12765,2496,21806
230410,Crateús,147,0,20,1,95,1,4,19113,43337,10100,72550
230420,Crato,158,41,10,2,104,17,41,35874,76146,13648,125668
230423,Croatá,37,0,1,0,3,0,0,5151,9398,2289,16838
230425,Cruz,56,0,3,0,8,0,0,7338,13274,2488,23100
230426,Deputado Irapuan Pinheiro,12,0,1,0,1,0,1,2178,5327,1406,8911
230427,Ererê,9,0,1,0,1,0,0,1366,4144,921,6431
230428,Eusébio,56,0,1,0,24,0,1,17102,30045,3622,50769
230430,Farias Brito,43,0,3,0,5,0,1,5136,10817,2660,18613
230440,Fortaleza,5180,440,271,27,3566,316,1194,628426,1648922,242430,2519778
230445,Fortim,12,0,1,0,1,0,0,3944,9203,1754,14901
230450,Frecheirinha,16,0,1,0,3,0,0,4428,7432,1473,13333
230460,General Sampaio,13,0,1,0,1,0,1,2060,3521,735,6316
230470,Granja,50,0,1,0,5,0,0,17017,28958,5375,51350
230480,Granjeiro,25,0,1,0,1,0,0,1380,2575,545,4500
230490,Groaíras,19,0,1,0,1,0,0,2670,6180,1477,10327
230495,Guaiúba,13,0,1,0,2,0,0,7103,14872,2350,24325
230500,Guaraciaba do Norte,40,0,5,0,6,0,0,12392,21109,4542,38043
230510,Guaramiranga,11,0,1,0,1,0,0,1348,2361,415,4124
230520,Hidrolândia,23,0,2,0,3,0,0,5258,10820,2912,18990
230523,Horizonte,48,0,3,0,14,0,0,18753,36918,4312,59983
230526,Ibaretama,20,0,1,0,1,0,0,4077,7314,1558,12949
230530,Ibiapina,29,0,3,0,5,0,0,7141,13617,2987,23745
230533,Ibicuitinga,8,0,0,0,0,0,0,3060,7069,1367,11496
230535,Icapuí,14,0,0,0,0,0,0,4638,11864,1915,18417
230540,Icó,54,0,4,0,19,0,1,17727,39123,8076,64926
230550,Iguatu,194,0,13,0,58,0,18,24089,60682,12516,97287
230560,Independência,19,0,2,0,3,0,0,6554,14905,3740,25199
230565,Ipaporanga,18,0,2,0,4,0,0,3157,6209,1780,11146
230570,Ipaumirim,26,0,1,0,1,0,0,2945,7017,1740,11702
230580,Ipu,45,0,6,0,15,0,2,11784,22972,5568,40324
230590,Ipueiras,40,0,2,0,4,0,0,11241,20605,5116,36962
230600,Iracema,31,0,1,0,3,0,0,3395,8179,1975,13549
230610,Irauçuba,21,0,1,0,2,0,0,7058,12808,2363,22229
230620,Itaiçaba,17,0,1,0,1,0,0,1766,4588,1068,7422
230625,Itaitinga,26,0,3,0,5,0,0,10588,23132,3053,36773
230630,Itapagé,34,0,2,0,7,0,0,14680,29032,4846,48558
230640,Itapipoca,140,0,17,0,112,0,4,37781,69334,11789,118904
230650,Itapiúna,28,0,1,0,3,0,0,5282,10957,2216,18455
230655,Itarema,31,0,2,0,5,0,4,12650,22063,3404,38117
230670,Jaguaretama,20,0,2,0,3,0,0,4629,10476,2348,17453
230680,Jaguaribara,40,0,1,0,2,0,0,2740,6466,1321,10527
230690,Jaguaribe,30,0,3,0,7,0,0,9204,20064,4768,34036
230700,Jaguaruana,24,0,3,0,4,0,0,8192,20468,3725,32385
230710,Jardim,64,0,3,0,7,0,0,8111,15173,3262,26546
230720,Jati,33,0,1,0,1,0,0,2152,4497,1056,7705
230725,Jijoca de Jericoacoara,24,0,0,0,0,0,0,5682,10827,1421,17930
230730,Juazeiro do Norte,386,58,30,5,193,36,79,73711,155215,26994,255920
230740,Jucás,25,0,4,0,4,0,0,6816,13478,3422,23716
230750,Lavras da Mangabeira,43,0,12,0,12,0,0,7858,17982,4556,30396
230760,Limoeiro do Norte,278,0,10,0,46,0,5,14325,35757,6258,56340
230763,Madalena,24,0,1,0,1,0,0,5335,10445,2174,17954
230765,Maracanaú,290,0,10,0,129,0,16,66946,137979,16292,221217
230770,Maranguape,51,0,4,0,18,0,0,31332,72537,10940,114809
230780,Marco,33,0,2,0,3,0,0,8824,14322,2253,25399
230790,Martinópole,9,0,0,0,0,0,0,3371,5798,1139,10308
230800,Massapê,30,0,1,0,2,0,0,11010,20817,3796,35623
230810,Mauriti,70,0,4,0,7,0,1,13489,26080,4971,44540
230820,Meruoca,20,0,1,0,1,0,1,3932,8144,1756,13832
230830,Milagres,67,0,2,0,3,0,1,7441,16655,3608,27704
230835,Milhã,28,0,1,0,1,0,1,3227,7508,2060,12795
230840,Missão Velha,69,0,2,0,12,0,1,10592,19704,4162,34458
230850,Mombaça,53,0,4,0,12,0,0,11260,24189,6090,41539
230860,Monsenhor Tabosa,50,0,2,0,3,0,0,4809,9458,2252,16519
230870,Morada Nova,121,0,3,0,14,0,1,15617,37230,8017,60864
230880,Moraújo,12,0,1,0,1,0,0,2450,4747,896,8093
230890,Morrinhos,21,0,1,0,2,0,0,6547,11618,2279,20444
230900,Mucambo,40,0,3,0,5,0,0,3903,7902,2090,13895
230910,Mulungu,9,0,1,0,1,0,0,3216,6786,1337,11339
230920,Nova Olinda,20,0,1,0,2,0,0,4535,8452,1700,14687
230930,Nova Russas,43,0,2,0,6,0,0,8195,17784,4569,30548
230940,Novo Oriente,20,0,2,0,5,0,0,7672,16106,3531,27309
230945,Ocara,19,0,1,0,3,0,0,6593,14310,3056,23959
230950,Orós,37,0,2,0,5,0,0,5170,12641,3234,21045
230960,Pacajus,53,0,2,0,7,0,1,18083,40114,5691,63888
230970,Pacatuba,19,0,3,0,5,0,0,19965,47782,5274,73021
230980,Pacoti,20,0,2,0,2,0,0,3320,6807,1335,11462
231000,Palhano,9,0,0,0,0,0,0,2063,5526,1246,8835
231010,Palmácia,16,0,1,0,1,0,0,3013,7244,1518,11775
231020,Paracuru,39,0,2,0,8,0,0,10243,19434,3402,33079
231025,Paraipaba,25,0,2,0,2,0,0,9070,18177,3124,30371
231030,Parambu,38,0,2,0,10,0,0,9119,17364,4233,30716
231040,Paramoti,28,0,0,0,0,0,0,3334,6291,1410,11035
231050,Pedra Branca,51,0,4,0,11,0,2,11538,24055,5706,41299
231060,Penaforte,12,0,1,0,1,0,0,2780,4990,881,8651
